time,contract,open,high,low,close,volume,delta
2010-05-04,201005,7968,7982,7848,7880,129184,0
2010-05-05,201005,7690,7750,7649,7657,139637,0
2010-05-06,201005,7643,7669,7512,7579,128392,0
2010-05-07,201005,7352,7547,7351,7502,157584,0
2010-05-10,201005,7564,7638,7531,7637,104383,0
2010-05-11,201005,7570,7697,7555,7568,136479,0
2010-05-12,201005,7630,7658,7541,7587,124899,0
2010-05-13,201005,7698,7777,7660,7761,118392,0
2010-05-14,201005,7712,7766,7702,7760,82260,0
2010-05-17,201005,7680,7682,7555,7602,128287,0
2010-05-18,201005,7610,7640,7576,7619,88800,0
2010-05-19,201005,7518,7587,7468,7576,79702,-60
2010-05-20,201006,7509,7514,7356,7357,128720,0
2010-05-21,201006,7164,7247,7112,7209,121940,0
2010-05-24,201006,7224,7319,7214,7274,100618,0
2010-05-25,201006,7188,7189,7006,7052,149065,0
2010-05-26,201006,7122,7154,7045,7122,128152,0
2010-05-27,201006,7103,7234,7056,7202,133779,0
2010-05-28,201006,7289,7328,7221,7280,127105,0
2010-05-31,201006,7302,7333,7255,7325,80573,0
2010-06-01,201006,7283,7321,7220,7244,131307,0
2010-06-02,201006,7193,7282,7101,7140,145945,0
2010-06-03,201006,7253,7341,7252,7338,110168,0
2010-06-04,201006,7338,7348,7305,7321,61826,0
2010-06-07,201006,7100,7128,7035,7097,128391,0
2010-06-08,201006,7097,7139,7075,7129,86504,0
2010-06-09,201006,7080,7139,6990,7038,125117,0
2010-06-10,201006,7068,7164,7038,7163,108419,0
2010-06-11,201006,7316,7317,7244,7293,84228,0
2010-06-14,201006,7356,7395,7336,7382,72546,0
2010-06-15,201006,7378,7498,7364,7459,88627,0
2010-06-17,201006,7518,7537,7479,7519,55672,-146
2010-06-18,201007,7364,7387,7297,7352,95492,0
2010-06-21,201007,7440,7525,7408,7523,114888,0
2010-06-22,201007,7480,7506,7468,7480,61265,0
2010-06-23,201007,7430,7478,7388,7437,98219,0
2010-06-24,201007,7431,7456,7398,7427,69400,0
2010-06-25,201007,7341,7385,7302,7324,101908,0
2010-06-28,201007,7334,7375,7326,7362,57032,0
2010-06-29,201007,7393,7453,7251,7252,136686,0
2010-06-30,201007,7126,7168,7092,7153,88473,0
2010-07-01,201007,7123,7147,7061,7101,112777,0
2010-07-02,201007,7135,7216,7116,7165,105153,0
2010-07-05,201007,7185,7325,7168,7324,108041,0
2010-07-06,201007,7262,7458,7246,7456,124267,0
2010-07-07,201007,7436,7455,7406,7447,79144,0
2010-07-08,201007,7568,7571,7500,7532,96075,0
2010-07-09,201007,7540,7582,7522,7566,70471,0
2010-07-12,201007,7590,7654,7528,7533,97500,0
2010-07-13,201007,7589,7603,7517,7560,92569,0
2010-07-14,201007,7660,7703,7645,7703,82511,0
2010-07-15,201007,7677,7728,7668,7707,76018,0
2010-07-16,201007,7701,7715,7635,7669,106024,0
2010-07-19,201007,7601,7673,7591,7659,75609,0
2010-07-20,201007,7647,7746,7635,7709,92580,0
2010-07-21,201007,7758,7758,7683,7687,50821,-94
2010-07-22,201008,7585,7614,7536,7563,91437,0
2010-07-23,201008,7647,7703,7635,7680,83771,0
2010-07-26,201008,7715,7728,7682,7709,61558,0
2010-07-27,201008,7730,7733,7642,7657,84210,0
2010-07-28,201008,7679,7732,7635,7723,80894,0
2010-07-29,201008,7720,7731,7668,7707,80324,0
2010-07-30,201008,7685,7699,7638,7682,83284,0
2010-08-02,201008,7748,7878,7746,7870,88011,0
2010-08-03,201008,7911,7916,7868,7914,58075,0
2010-08-04,201008,7886,7928,7872,7911,79029,0
2010-08-05,201008,7960,7960,7875,7913,88830,0
2010-08-06,201008,7890,7932,7880,7929,65492,0
2010-08-09,201008,7911,8001,7911,7987,71601,0
2010-08-10,201008,7998,7998,7933,7936,69914,0
2010-08-11,201008,7886,7930,7833,7856,114197,0
